ID,ENSEMBL_GENE_ID,GeneName,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
6120,ENSG00000197713,RPE,0,1,1,1,1,1,1,0,0,0,0,0,0.0436775744133035,0,0,0,0,0,0,0,0
6121,ENSG00000116745,RPE65,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
6122,ENSG00000100316,RPL3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6123,ENSG00000140986,RPL3L,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6124,ENSG00000174444,RPL4,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6125,ENSG00000122406,RPL5,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6128,ENSG00000089009,RPL6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6129,ENSG00000147604,RPL7,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6130,ENSG00000148303,RPL7A,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6132,ENSG00000161016,RPL8,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6133,ENSG00000163682,RPL9,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6134,ENSG00000147403,RPL10,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494583333333334,0
6135,ENSG00000142676,RPL11,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6136,ENSG00000197958,RPL12,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6137,ENSG00000167526,RPL13,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6138,ENSG00000174748,RPL15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6141,ENSG00000063177,RPL18,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6142,ENSG00000105640,RPL18A,0,1,1,1,1,1,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0
6143,ENSG00000108298,RPL19,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6144,ENSG00000122026,RPL21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6146,ENSG00000116251,RPL22,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6147,ENSG00000198242,RPL23A,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6150,ENSG00000214026,MRPL23,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
